loan_application_id,applicant_id,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Other_EMI_plans,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
d68da33e-edad-11ea-92d6-14d5f1dd4287,1428429,9,new vehicle,2134000,4,car or other,0,0,,3,critical/pending loans at other banks,0
d68da3c0-edad-11ea-9c13-02e697b7fb47,1272219,6,electronic equipment,2647000,2,real estate,0,0,,1,existing loans paid back duly till now,0
d68da44c-edad-11ea-811d-450f33c8849a,1771414,10,new vehicle,2241000,1,real estate,0,0,,2,critical/pending loans at other banks,0
d68da4d8-edad-11ea-94e4-4ae3123f6e41,1666563,12,used vehicle,1804000,3,building society savings agreement/life insurance,0,0,,1,critical/pending loans at other banks,0
d68da55a-edad-11ea-9086-556c75abdef8,1847764,10,FF&E,2069000,2,car or other,0,0,,2,critical/pending loans at other banks,0
d68da5e6-edad-11ea-8848-094539bb32c1,1138996,6,FF&E,1374000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
d68da668-edad-11ea-a7ca-0e54ef05530b,1578742,6,electronic equipment,426000,4,car or other,0,0,,1,no loans taken/all loans paid back duly,0
d68da6f4-edad-11ea-8727-0a9a99b06aa8,1709277,12,electronic equipment,409000,3,real estate,0,0,,2,all loans at this bank paid back duly,0
d68da780-edad-11ea-ae82-22389d1f21e1,1508823,7,electronic equipment,2415000,3,real estate,0,1,,1,existing loans paid back duly till now,0
d68da802-edad-11ea-8fb1-430f7bd15180,1323870,60,business,6836000,3,,0,0,,2,delay in paying off loans in the past,1
d68da88e-edad-11ea-911c-45363b9e71a7,1414851,18,business,1913000,3,real estate,0,0,bank,1,existing loans paid back duly till now,0
d68da91a-edad-11ea-806b-1b4fff89cf12,1764281,24,FF&E,4020000,2,car or other,0,0,stores,1,existing loans paid back duly till now,0
d68da9a6-edad-11ea-ad7d-22ccbf1337b7,1291798,18,new vehicle,5866000,2,car or other,0,0,,2,existing loans paid back duly till now,0
d68daa28-edad-11ea-b015-2fab913db9fd,1873969,12,business,1264000,4,,0,0,,1,critical/pending loans at other banks,0
d68daab4-edad-11ea-90d0-54e9c6dd56d7,1888210,12,FF&E,1474000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
d68dab40-edad-11ea-9d66-1d40dd84d34f,1547494,45,electronic equipment,4746000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,1
d68dabcc-edad-11ea-acee-2f4a3741fda0,1674114,48,education,6110000,1,,0,0,bank,1,critical/pending loans at other banks,0
d68dac58-edad-11ea-b429-50d02dad5c98,1330233,18,electronic equipment,2100000,4,real estate,1,0,stores,1,existing loans paid back duly till now,1
d68dace4-edad-11ea-abc1-47fea893dfc1,1443666,10,domestic appliances,1225000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68dad66-edad-11ea-8dab-1e18a4ca4033,1574283,9,electronic equipment,458000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68dadf2-edad-11ea-9f2f-1b809b7f2469,1866940,30,electronic equipment,2333000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
d68dae74-edad-11ea-9dc4-548e2abf51a3,1188917,12,electronic equipment,1158000,3,car or other,0,0,,1,existing loans paid back duly till now,0
d68daf00-edad-11ea-b3c5-3a9c59258abf,1491485,18,repair costs,6204000,2,real estate,0,0,,1,delay in paying off loans in the past,0
d68daf8c-edad-11ea-9727-31a09ae7367c,1381317,30,used vehicle,6187000,1,car or other,0,0,,2,critical/pending loans at other banks,0
d68db00e-edad-11ea-86d2-0e15c47e1391,1246402,48,used vehicle,6143000,4,,0,0,stores,2,critical/pending loans at other banks,1
d68db09a-edad-11ea-a4a6-033044c9ec7b,1641291,11,new vehicle,1393000,4,car or other,0,0,,2,critical/pending loans at other banks,0
d68db126-edad-11ea-bfe0-17fd1764daff,1716706,36,electronic equipment,2299000,4,car or other,0,0,,1,existing loans paid back duly till now,0
d68db1b2-edad-11ea-a3cf-58ed274b7f95,1395153,6,used vehicle,1352000,1,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68db234-edad-11ea-bfd7-0ee1e3d95b7b,1697859,11,new vehicle,7228000,1,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68db2c0-edad-11ea-b4e4-05b1f0a92868,1193227,12,electronic equipment,2073000,4,real estate,1,0,,1,existing loans paid back duly till now,0
d68db34c-edad-11ea-b740-210ea10c8712,1850736,24,FF&E,2333000,4,building society savings agreement/life insurance,0,0,bank,1,delay in paying off loans in the past,0
d68db3ce-edad-11ea-84bd-4e67b5f9936f,1771270,27,used vehicle,5965000,1,car or other,0,0,,2,delay in paying off loans in the past,0
d68db45a-edad-11ea-b49c-1d832f4dbd57,1840431,12,electronic equipment,1262000,3,car or other,0,0,,1,existing loans paid back duly till now,0
d68db4e6-edad-11ea-93eb-2f95b3348c4f,1502325,18,used vehicle,3378000,2,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68db568-edad-11ea-861a-147ac6c14a8a,1151072,36,new vehicle,2225000,4,,0,0,bank,2,delay in paying off loans in the past,1
d68db5f4-edad-11ea-bb4b-54d27ddacc3f,1875288,6,new vehicle,783000,1,real estate,0,1,stores,1,all loans at this bank paid back duly,0
d68db676-edad-11ea-9236-15f36db5c93c,1361963,12,electronic equipment,6468000,2,,0,0,,1,existing loans paid back duly till now,1
d68db702-edad-11ea-a2a0-3749d1a32a81,1599723,36,electronic equipment,9566000,2,car or other,0,0,stores,2,critical/pending loans at other banks,0
d68db78e-edad-11ea-8929-11abd2d70a99,1438784,18,new vehicle,1961000,3,car or other,0,0,,1,existing loans paid back duly till now,0
d68db81a-edad-11ea-86b8-1f01f823167f,1274604,36,FF&E,6229000,4,,1,0,,2,critical/pending loans at other banks,1
d68db8a6-edad-11ea-aa20-02cf03ad2d1c,1548860,9,business,1391000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
d68db932-edad-11ea-8d84-23c2491ed40b,1570047,15,electronic equipment,1537000,4,real estate,0,1,,2,critical/pending loans at other banks,0
d68db9be-edad-11ea-ba32-040aa726f1e3,1825757,36,business,1953000,4,,0,0,,1,no loans taken/all loans paid back duly,1
d68dba4a-edad-11ea-8291-1ad3a64d9e3c,1304525,48,business,14421000,2,car or other,0,0,,1,no loans taken/all loans paid back duly,1
d68dbacc-edad-11ea-8b74-30c9ef13da0b,1750074,24,electronic equipment,3181000,4,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68dbb58-edad-11ea-abdb-58a14485f385,1134752,27,repair costs,5190000,4,building society savings agreement/life insurance,0,0,,4,existing loans paid back duly till now,0
d68dbbe4-edad-11ea-a81c-58a83881718d,1505713,12,electronic equipment,2171000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
d68dbc66-edad-11ea-9193-2314a7840d0c,1724003,12,new vehicle,1007000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68dbcf2-edad-11ea-87d0-34f6e88ef196,1388519,36,education,1819000,4,,0,0,stores,1,existing loans paid back duly till now,1
d68dbd74-edad-11ea-ae01-263c4f557be7,1724882,36,electronic equipment,2394000,4,car or other,0,0,,1,existing loans paid back duly till now,0
d68dbe00-edad-11ea-99af-2b1e2d010653,1463336,36,used vehicle,8133000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
d68dbe82-edad-11ea-8f4d-33d08b45f472,1804919,7,electronic equipment,730000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68dbf0e-edad-11ea-a080-02b0155d9dc9,1591747,8,,1164000,3,,0,0,bank,2,critical/pending loans at other banks,0
d68dbfa4-edad-11ea-bd07-2daf55be0489,1743709,42,business,5954000,2,real estate,0,0,bank,2,critical/pending loans at other banks,0
d68dc030-edad-11ea-9980-506b879d7f8f,1472593,36,education,1977000,4,,0,0,,1,existing loans paid back duly till now,1
d68dc0bc-edad-11ea-890a-19d1f9df60f0,1641977,12,used vehicle,1526000,4,,0,0,,2,critical/pending loans at other banks,0
d68dc13e-edad-11ea-934f-24bfb9db2c02,1649753,42,electronic equipment,3965000,4,car or other,0,0,,1,existing loans paid back duly till now,1
d68dc1ca-edad-11ea-9b81-213a71e38303,1149571,11,electronic equipment,4771000,2,building society savings agreement/life insurance,0,0,,1,delay in paying off loans in the past,0
d68dc256-edad-11ea-98c3-17399d993dcd,1691240,54,used vehicle,9436000,2,building society savings agreement/life insurance,0,0,,1,no loans taken/all loans paid back duly,0
d68dc2d8-edad-11ea-86ce-2d345d26e102,1838961,30,FF&E,3832000,2,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68dc364-edad-11ea-a3df-130f4e9c102f,1403464,24,electronic equipment,5943000,1,car or other,0,0,,2,existing loans paid back duly till now,1
d68dc3f0-edad-11ea-a517-0365bf01b3bb,1646022,15,electronic equipment,1213000,4,building society savings agreement/life insurance,0,0,stores,1,existing loans paid back duly till now,0
d68dc472-edad-11ea-b563-15c425a7c161,1106801,18,business,1568000,3,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68dc4fe-edad-11ea-8640-2a243f19dfa1,1616296,24,,1755000,4,real estate,0,1,,1,existing loans paid back duly till now,0
d68dc580-edad-11ea-82fe-49573323bbb2,1238277,10,electronic equipment,2315000,3,real estate,0,0,,1,existing loans paid back duly till now,0
d68dc60c-edad-11ea-b67a-4da15fd806e6,1175457,12,business,1412000,4,real estate,0,1,,2,critical/pending loans at other banks,0
d68dc698-edad-11ea-abf5-1f5e28a63773,1576577,18,FF&E,1295000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68dc71a-edad-11ea-a8fb-0434a8116a43,1586725,36,education,12612000,1,,0,0,,1,existing loans paid back duly till now,1
d68dc7a6-edad-11ea-9828-03b8fce3f80e,1660853,18,new vehicle,2249000,4,car or other,0,0,,1,existing loans paid back duly till now,0
d68dc83c-edad-11ea-b3c3-3b4b4a5238f9,1132472,12,repair costs,1108000,4,real estate,0,0,,2,no loans taken/all loans paid back duly,1
d68dc8c8-edad-11ea-99f9-135529eafd46,1368120,12,electronic equipment,618000,4,real estate,0,0,,1,critical/pending loans at other banks,0
d68dc94a-edad-11ea-af9c-3a9375ebdaf3,1403185,12,used vehicle,1409000,4,real estate,0,0,,1,critical/pending loans at other banks,0
d68dc9d6-edad-11ea-bbbb-3e6f9ad604b6,1601892,12,electronic equipment,797000,4,building society savings agreement/life insurance,0,0,bank,1,critical/pending loans at other banks,1
d68dca62-edad-11ea-9d83-414eeb11e188,1220273,24,FF&E,3617000,4,,1,0,,2,critical/pending loans at other banks,0
d68dcae4-edad-11ea-bd63-0f82516e8c9a,1713632,12,new vehicle,1318000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68dcb70-edad-11ea-af3c-1c3e47ff3483,1416025,54,business,15945000,3,,0,0,,1,no loans taken/all loans paid back duly,1
d68dcbfc-edad-11ea-ad44-06ed8ffa90db,1610826,12,education,2012000,4,car or other,0,0,,1,critical/pending loans at other banks,0
d68dcc7e-edad-11ea-8d12-1be74a638595,1887006,18,business,2622000,4,car or other,0,0,,1,existing loans paid back duly till now,0
d68dcd0a-edad-11ea-bfbe-0b1c5232ef5b,1570732,36,electronic equipment,2337000,4,real estate,0,0,,1,critical/pending loans at other banks,0
d68dcd96-edad-11ea-a24d-4b151f9c2834,1617889,20,used vehicle,7057000,3,building society savings agreement/life insurance,0,0,bank,2,delay in paying off loans in the past,0
d68dce18-edad-11ea-b9aa-2ee09b4ac777,1318902,24,new vehicle,1469000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68dcea4-edad-11ea-bb1a-384a200d31e4,1466716,36,electronic equipment,2323000,4,car or other,0,0,,1,existing loans paid back duly till now,0
d68dcf26-edad-11ea-a3d9-30aa54f568e3,1621669,6,electronic equipment,932000,3,real estate,0,0,,1,delay in paying off loans in the past,0
d68dcfb2-edad-11ea-9760-3d64dda512ad,1901818,9,FF&E,1919000,4,car or other,0,0,,1,critical/pending loans at other banks,0
d68dd03e-edad-11ea-beb0-18bb6a01d5af,1114473,12,used vehicle,2445000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68dd0c0-edad-11ea-a548-3f53dbbe0a19,1514853,24,,11938000,2,car or other,1,0,,2,critical/pending loans at other banks,1
d68dd14c-edad-11ea-9e7c-0fab01ac5e54,1645589,18,new vehicle,6458000,2,,0,0,bank,2,all loans at this bank paid back duly,1
d68dd1d8-edad-11ea-8c4b-3562d606fa2d,1504772,12,new vehicle,6078000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68dd264-edad-11ea-ac9b-1a83e5ec58f0,1698579,24,FF&E,7721000,1,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68dd2f0-edad-11ea-86cb-0e7e6f9f44d9,1754975,14,business,1410000,1,real estate,0,0,,1,existing loans paid back duly till now,0
d68dd372-edad-11ea-8217-088829cf1406,1222155,6,business,1449000,1,car or other,0,0,bank,2,delay in paying off loans in the past,0
d68dd3fe-edad-11ea-85d9-0801dba76242,1719636,15,education,392000,4,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68dd48a-edad-11ea-8b02-590b91e669a9,1323966,18,new vehicle,6260000,3,real estate,0,0,,1,existing loans paid back duly till now,0
d68dd50c-edad-11ea-bc3c-41c0d26b4bdb,1683052,36,new vehicle,7855000,4,real estate,0,0,stores,2,critical/pending loans at other banks,1
d68dd598-edad-11ea-962f-4f70b120fd05,1405004,12,electronic equipment,1680000,3,real estate,0,0,,1,existing loans paid back duly till now,0
d68dd61a-edad-11ea-9a03-0c03b1c8f7ee,1848791,48,electronic equipment,3578000,4,real estate,0,0,,1,critical/pending loans at other banks,0
d68dd6a6-edad-11ea-a317-531d4d08ee0e,1229152,42,electronic equipment,7174000,4,car or other,0,0,,1,existing loans paid back duly till now,1
d68dd732-edad-11ea-a8a4-28c83b513f8f,1206049,10,FF&E,2132000,2,real estate,1,0,,2,critical/pending loans at other banks,0
d68dd7b4-edad-11ea-b52e-2b8ed7488c0b,1651983,33,FF&E,4281000,1,car or other,0,0,,2,critical/pending loans at other banks,1
d68dd840-edad-11ea-bc24-1cbb1240abb6,1357789,12,new vehicle,2366000,3,car or other,0,0,,1,critical/pending loans at other banks,0
d68dd8c2-edad-11ea-8325-48f5964f39e5,1506336,21,electronic equipment,1835000,3,real estate,0,0,,2,existing loans paid back duly till now,1
d68dd94e-edad-11ea-9088-5845d419df53,1171493,24,used vehicle,3868000,4,car or other,0,0,,2,critical/pending loans at other banks,0
d68dd9da-edad-11ea-9234-4e2165b63284,1278346,12,FF&E,1768000,3,real estate,0,0,,1,existing loans paid back duly till now,0
d68dda5c-edad-11ea-b643-248f1830d800,1852036,10,new vehicle,781000,4,,0,0,,2,critical/pending loans at other banks,0
d68ddae8-edad-11ea-9fd2-30c994a00777,1717438,18,FF&E,1924000,4,real estate,0,0,,1,existing loans paid back duly till now,1
d68ddb6a-edad-11ea-8022-2a49c6cad240,1168894,12,new vehicle,2121000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68ddbf6-edad-11ea-ad88-1d553c0d91b4,1169906,12,electronic equipment,701000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68ddc8c-edad-11ea-a0b0-0a1ffcb540b8,1693022,12,repair costs,639000,4,car or other,0,0,,1,existing loans paid back duly till now,1
d68ddd18-edad-11ea-805a-38e62c783db8,1125378,12,used vehicle,1860000,4,car or other,0,0,,2,critical/pending loans at other banks,0
d68ddda4-edad-11ea-a0b7-0e0dd96bd8b7,1355140,12,new vehicle,3499000,3,real estate,1,0,,2,critical/pending loans at other banks,1
d68dde26-edad-11ea-a6d8-0465cafd2c02,1156488,48,new vehicle,8487000,1,car or other,0,0,,1,existing loans paid back duly till now,0
d68ddeb2-edad-11ea-9d4d-4213f5f0e77f,1817517,36,education,6887000,4,building society savings agreement/life insurance,0,0,stores,1,delay in paying off loans in the past,1
d68ddf34-edad-11ea-bc47-041f8c0e2825,1183266,15,FF&E,2708000,2,building society savings agreement/life insurance,0,0,bank,2,existing loans paid back duly till now,0
d68ddfc0-edad-11ea-90dc-2aff777a2e5f,1834069,18,FF&E,1984000,4,,0,0,bank,2,existing loans paid back duly till now,0
d68de042-edad-11ea-911c-56953b2d3d8e,1501095,60,electronic equipment,10144000,2,real estate,0,0,,1,existing loans paid back duly till now,0
d68de0ce-edad-11ea-b005-484343171fc7,1577050,12,electronic equipment,1240000,4,real estate,0,0,,2,critical/pending loans at other banks,0
d68de150-edad-11ea-a8f8-3f2d5096c477,1601894,27,used vehicle,8613000,2,car or other,0,0,,2,delay in paying off loans in the past,0
d68de1dc-edad-11ea-bdd6-4a9c08795601,1376069,12,electronic equipment,766000,4,real estate,0,0,,1,existing loans paid back duly till now,1
d68de25e-edad-11ea-9aff-47794126d1cb,1450465,15,electronic equipment,2728000,4,real estate,0,1,bank,3,critical/pending loans at other banks,0
d68de2ea-edad-11ea-9e05-383919943716,1565903,12,electronic equipment,1881000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68de376-edad-11ea-aec7-483aab1053e4,1124574,6,new vehicle,709000,2,real estate,0,0,,1,existing loans paid back duly till now,0
d68de3f8-edad-11ea-9d9a-13759ea03618,1432828,36,electronic equipment,4795000,4,,0,0,,1,existing loans paid back duly till now,0
d68de484-edad-11ea-b499-571ac2e163c1,1682758,27,electronic equipment,3416000,3,car or other,0,0,,1,existing loans paid back duly till now,0
d68de506-edad-11ea-bdae-0e7e30d8bde8,1902944,18,FF&E,2462000,2,car or other,0,0,,1,existing loans paid back duly till now,1
d68de592-edad-11ea-b182-438ac99d5809,1774498,21,FF&E,2288000,4,building society savings agreement/life insurance,0,0,,1,critical/pending loans at other banks,0
d68de61e-edad-11ea-a3f1-003107fa5332,1411456,48,business,3566000,4,car or other,0,0,,1,all loans at this bank paid back duly,0
d68de6a0-edad-11ea-8137-1c0bfe669aab,1387053,6,new vehicle,860000,1,,0,0,,2,critical/pending loans at other banks,0
d68de72c-edad-11ea-99c7-5304b12a3853,1563602,12,new vehicle,682000,4,car or other,0,0,,2,critical/pending loans at other banks,0
d68de7ae-edad-11ea-a435-21ec7001d2ef,1901178,36,FF&E,5371000,3,building society savings agreement/life insurance,0,1,,2,critical/pending loans at other banks,0
d68de83a-edad-11ea-8707-1265ff9ba77f,1841686,18,electronic equipment,1582000,4,car or other,0,0,,2,critical/pending loans at other banks,0
d68de8c6-edad-11ea-839b-51bb45f16e3b,1403203,6,electronic equipment,1346000,2,,0,0,bank,1,existing loans paid back duly till now,0
d68de948-edad-11ea-9d4f-48db9ec10cf8,1448565,10,electronic equipment,1924000,1,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68de9d4-edad-11ea-944a-0fbc09e75266,1538125,36,electronic equipment,5848000,4,car or other,0,0,,1,existing loans paid back duly till now,0
d68dea56-edad-11ea-a62e-0ecdbd3bb870,1115975,24,used vehicle,7758000,2,,0,0,,1,critical/pending loans at other banks,0
d68deae2-edad-11ea-b054-16d5ca20d9b0,1230615,24,business,6967000,4,car or other,0,0,,1,delay in paying off loans in the past,0
d68deb6e-edad-11ea-905b-15f939ba2694,1841503,12,FF&E,1282000,2,car or other,0,0,,1,existing loans paid back duly till now,1
d68debf0-edad-11ea-ab45-516383633504,1321123,9,repair costs,1288000,3,real estate,0,1,,2,critical/pending loans at other banks,0
d68dec7c-edad-11ea-bcb1-443da326aaff,1691733,12,career development,339000,4,car or other,0,0,bank,1,all loans at this bank paid back duly,0
d68decfe-edad-11ea-87cf-2921baabd7ac,1680095,24,new vehicle,3512000,2,car or other,0,0,bank,2,existing loans paid back duly till now,0
d68ded8a-edad-11ea-8643-1254e9fb3cdf,1660328,6,electronic equipment,1898000,1,real estate,0,0,,2,critical/pending loans at other banks,0
d68dee16-edad-11ea-af01-041f8f7ee439,1187072,24,electronic equipment,2872000,3,real estate,0,0,,1,critical/pending loans at other banks,0
d68dee98-edad-11ea-b1ec-1a66ffed6a22,1460273,18,new vehicle,1055000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68def1a-edad-11ea-9116-204e6861f7af,1138817,15,domestic appliances,1262000,4,building society savings agreement/life insurance,0,0,,2,existing loans paid back duly till now,0
d68defb0-edad-11ea-839f-0bb5e3c05cfc,1628583,10,new vehicle,7308000,2,,0,0,bank,1,existing loans paid back duly till now,0
d68df03c-edad-11ea-a402-4225d9f7795d,1734823,36,new vehicle,909000,4,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68df0be-edad-11ea-9239-5197bf45d142,1280180,6,FF&E,2978000,1,car or other,0,0,,1,existing loans paid back duly till now,0
d68df14a-edad-11ea-b4fe-0d7da3d02598,1279502,18,FF&E,1131000,4,car or other,0,0,,1,existing loans paid back duly till now,1
d68df1cc-edad-11ea-a739-3d9476516c48,1699886,11,FF&E,1577000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68df258-edad-11ea-9c62-24ee8d739306,1183811,24,FF&E,3972000,2,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68df2da-edad-11ea-86c0-04ac1fe387a7,1775311,24,business,1935000,4,real estate,0,0,,2,critical/pending loans at other banks,1
d68df366-edad-11ea-aa58-0aa667a9b3d4,1770037,15,new vehicle,950000,4,car or other,0,0,,2,no loans taken/all loans paid back duly,1
d68df3e8-edad-11ea-a333-2a851fe887b5,1420832,12,FF&E,763000,4,real estate,0,0,,1,existing loans paid back duly till now,0
d68df46a-edad-11ea-b0c5-4133c19d295a,1388983,24,FF&E,2064000,3,building society savings agreement/life insurance,0,0,,1,delay in paying off loans in the past,1
d68df4f6-edad-11ea-a260-12f89efc1421,1827797,8,electronic equipment,1414000,4,real estate,0,1,,1,existing loans paid back duly till now,0
d68df58c-edad-11ea-a78c-217c3a2c1d49,1758397,21,education,3414000,2,building society savings agreement/life insurance,0,0,,2,delay in paying off loans in the past,1
d68df60e-edad-11ea-8261-0e3eef8dd0b1,1126090,30,used vehicle,7485000,4,real estate,0,0,bank,1,all loans at this bank paid back duly,1
d68df69a-edad-11ea-9808-4873292db72a,1653715,12,FF&E,2577000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68df726-edad-11ea-9a33-592dd6ab3f4b,1534783,6,electronic equipment,338000,4,car or other,0,0,,2,critical/pending loans at other banks,0
d68df7b2-edad-11ea-abd8-5320e7b625a7,1705627,12,electronic equipment,1963000,4,car or other,0,0,,2,existing loans paid back duly till now,0
d68df834-edad-11ea-b55c-35ec71aec9c8,1156764,21,new vehicle,571000,4,real estate,0,0,,2,critical/pending loans at other banks,0
d68df8c0-edad-11ea-a84e-3604320c9c15,1351247,36,business,9572000,1,car or other,0,0,,2,delay in paying off loans in the past,1
d68df942-edad-11ea-9207-50d72d85dfff,1324848,36,business,4455000,2,real estate,0,0,stores,2,delay in paying off loans in the past,1
d68df9ce-edad-11ea-b183-1bd84eb93786,1706494,21,new vehicle,1647000,4,building society savings agreement/life insurance,0,0,,2,all loans at this bank paid back duly,1
d68dfa50-edad-11ea-8172-566f2bd879b2,1325093,24,FF&E,3777000,4,real estate,0,0,,1,critical/pending loans at other banks,0
d68dfadc-edad-11ea-9e38-276031c5a3e4,1168078,18,new vehicle,884000,4,car or other,0,0,bank,1,critical/pending loans at other banks,1
d68dfb5e-edad-11ea-b6c6-085496dc24df,1625627,15,electronic equipment,1360000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68dfbea-edad-11ea-a14d-0e99ca708378,1645519,9,used vehicle,5129000,2,,0,0,bank,1,all loans at this bank paid back duly,1
d68dfc6c-edad-11ea-afa0-2b42891c93fc,1308726,16,new vehicle,1175000,2,car or other,0,0,,3,critical/pending loans at other banks,0
d68dfcf8-edad-11ea-86e4-4e67dd612fb1,1460398,12,electronic equipment,674000,4,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,1
d68dfd7a-edad-11ea-b36d-4c90b8873a62,1802699,18,FF&E,3244000,1,car or other,0,0,bank,2,no loans taken/all loans paid back duly,0
d68dfe06-edad-11ea-98cd-0e23b6f47010,1693215,24,business,4591000,2,building society savings agreement/life insurance,0,0,,3,existing loans paid back duly till now,1
d68dfe88-edad-11ea-8c5f-54a2d30e5c2d,1493175,48,business,3844000,4,,0,0,,1,no loans taken/all loans paid back duly,1
d68dff14-edad-11ea-b866-01168000e841,1387043,27,business,3915000,4,car or other,0,0,,1,existing loans paid back duly till now,1
