applicant_id,Primary_applicant_age_in_years,gender_ord,Marital_status_ord,Number_of_dependents,Housing_ord,Years_at_current_residence,Employment_status_ord,Has_been_employed_for_at_least_ord,Has_been_employed_for_at_most_ord,Telephone_ord,Foreign_worker,Savings_account_balance_ord,Balance_in_existing_bank_account_lower_limit_of_bucket_ord,Balance_in_existing_bank_account_upper_limit_of_bucket_ord,loan_application_id,Months_loan_taken_for,Purpose_ord,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property_ord,Has_coapplicant,Has_guarantor,Other_EMI_plans_ord,Number_of_existing_loans_at_this_bank,Loan_history_ord,high_risk_applicant
1502325,31,1,1,1,1,1,1,1.0,4.0,1.0,1,,,,d68db4e6-edad-11ea-93eb-2f95b3348c4f,18,4.0,3378000,2,3.0,0,0,,1,1,0
1151072,57,1,1,1,3,4,1,7.0,,1.0,1,1.0,0.0,2.0,d68db568-edad-11ea-861a-147ac6c14a8a,36,2.0,2225000,4,,0,0,1.0,2,3,1
1875288,26,1,1,2,1,2,2,1.0,4.0,,1,,,,d68db5f4-edad-11ea-bb4b-54d27ddacc3f,6,2.0,783000,1,2.0,0,1,2.0,1,5,0
1361963,52,1,1,1,1,1,3,,0.0,1.0,1,,0.0,2.0,d68db676-edad-11ea-9236-15f36db5c93c,12,1.0,6468000,2,,0,0,,1,1,1
1599723,31,2,2,1,1,2,1,1.0,4.0,,1,1.0,,,d68db702-edad-11ea-a2a0-3749d1a32a81,36,1.0,9566000,2,1.0,0,0,2.0,2,2,0
1438784,23,2,2,1,1,2,3,7.0,,,1,1.0,2.0,,d68db78e-edad-11ea-8929-11abd2d70a99,18,2.0,1961000,3,1.0,0,0,,1,1,0
1274604,23,2,2,1,2,4,2,0.0,1.0,1.0,1,1.0,,0.0,d68db81a-edad-11ea-86b8-1f01f823167f,36,3.0,6229000,4,,1,0,,2,2,1
1548860,27,1,3,1,1,1,1,1.0,4.0,1.0,1,1.0,0.0,2.0,d68db8a6-edad-11ea-aa20-02cf03ad2d1c,9,5.0,1391000,2,2.0,0,0,1.0,1,1,0
1570047,50,1,1,1,1,4,1,7.0,,1.0,1,,0.0,2.0,d68db932-edad-11ea-8d84-23c2491ed40b,15,1.0,1537000,4,2.0,0,1,,2,2,0
1825757,61,1,1,1,3,4,3,7.0,,1.0,1,1.0,0.0,2.0,d68db9be-edad-11ea-ba32-040aa726f1e3,36,5.0,1953000,4,,0,0,,1,6,1
1304525,25,1,1,1,1,2,1,1.0,4.0,1.0,1,1.0,0.0,2.0,d68dba4a-edad-11ea-8291-1ad3a64d9e3c,48,5.0,14421000,2,1.0,0,0,,1,6,1
1750074,26,2,2,1,1,4,1,0.0,1.0,1.0,1,1.0,,,d68dbacc-edad-11ea-8b74-30c9ef13da0b,24,1.0,3181000,4,3.0,0,0,,1,1,0
1134752,48,1,1,2,1,4,1,7.0,,1.0,1,,,,d68dbb58-edad-11ea-abdb-58a14485f385,27,7.0,5190000,4,3.0,0,0,,4,1,0
1505713,29,2,2,1,1,2,1,0.0,1.0,,1,1.0,,,d68dbbe4-edad-11ea-a81c-58a83881718d,12,1.0,2171000,2,1.0,0,0,1.0,1,1,0
1724003,22,1,3,1,1,1,1,1.0,4.0,,1,4.0,0.0,2.0,d68dbc66-edad-11ea-9193-2314a7840d0c,12,2.0,1007000,4,2.0,0,0,,1,1,0
1388519,37,1,1,1,3,4,1,1.0,4.0,1.0,1,1.0,,,d68dbcf2-edad-11ea-87d0-34f6e88ef196,36,6.0,1819000,4,,0,0,2.0,1,1,1
1724882,25,2,2,1,1,4,1,1.0,4.0,,1,,,,d68dbd74-edad-11ea-ae01-263c4f557be7,36,1.0,2394000,4,1.0,0,0,,1,1,0
1463336,30,2,2,1,1,2,1,1.0,4.0,,1,1.0,,,d68dbe00-edad-11ea-99af-2b1e2d010653,36,4.0,8133000,1,3.0,0,0,1.0,1,1,0
1804919,46,1,1,1,2,2,2,7.0,,1.0,1,,,,d68dbe82-edad-11ea-8f4d-33d08b45f472,7,1.0,730000,4,3.0,0,0,,2,2,0
1591747,51,1,1,2,3,4,3,7.0,,1.0,1,1.0,,0.0,d68dbf0e-edad-11ea-a080-02b0155d9dc9,8,,1164000,3,,0,0,1.0,2,2,0
1743709,41,2,2,1,1,1,2,4.0,7.0,,1,1.0,0.0,2.0,d68dbfa4-edad-11ea-bd07-2daf55be0489,42,5.0,5954000,2,2.0,0,0,1.0,2,2,0
1472593,40,1,1,1,1,4,3,7.0,,1.0,1,,,0.0,d68dc030-edad-11ea-9980-506b879d7f8f,36,6.0,1977000,4,,0,0,,1,1,1
1641977,66,1,1,1,3,4,3,7.0,,,1,1.0,,0.0,d68dc0bc-edad-11ea-890a-19d1f9df60f0,12,4.0,1526000,4,,0,0,,2,2,0
1649753,34,1,1,1,1,3,1,0.0,1.0,,1,1.0,,0.0,d68dc13e-edad-11ea-934f-24bfb9db2c02,42,1.0,3965000,4,1.0,0,0,,1,1,1
1149571,51,1,1,1,1,4,1,4.0,7.0,,1,1.0,0.0,2.0,d68dc1ca-edad-11ea-9b81-213a71e38303,11,1.0,4771000,2,3.0,0,0,,1,3,0
1691240,39,1,1,2,1,2,2,1.0,4.0,,1,,,,d68dc256-edad-11ea-98c3-17399d993dcd,54,4.0,9436000,2,3.0,0,0,,1,6,0
1838961,22,1,3,1,1,1,1,0.0,1.0,,1,1.0,0.0,2.0,d68dc2d8-edad-11ea-86ce-2d345d26e102,30,3.0,3832000,2,3.0,0,0,,1,1,0
1403464,44,2,2,1,1,1,1,0.0,1.0,1.0,1,,,,d68dc364-edad-11ea-a3df-130f4e9c102f,24,1.0,5943000,1,1.0,0,0,,2,1,1
1646022,47,1,1,1,1,3,1,7.0,,1.0,1,3.0,,,d68dc3f0-edad-11ea-a517-0365bf01b3bb,15,1.0,1213000,4,3.0,0,0,2.0,1,1,0
1106801,24,2,2,1,2,4,2,1.0,4.0,,1,2.0,,,d68dc472-edad-11ea-b563-15c425a7c161,18,5.0,1568000,3,3.0,0,0,,1,1,0
1616296,58,2,2,1,1,4,2,7.0,,1.0,1,1.0,,0.0,d68dc4fe-edad-11ea-8640-2a243f19dfa1,24,,1755000,4,2.0,0,1,,1,1,0
1238277,52,1,1,1,1,4,2,7.0,,,1,1.0,,0.0,d68dc580-edad-11ea-82fe-49573323bbb2,10,1.0,2315000,3,2.0,0,0,,1,1,0
1175457,29,2,2,1,1,2,3,1.0,4.0,1.0,1,1.0,,,d68dc60c-edad-11ea-b67a-4da15fd806e6,12,5.0,1412000,4,2.0,0,1,,2,2,0
1576577,27,2,2,1,1,1,1,0.0,1.0,,1,1.0,0.0,2.0,d68dc698-edad-11ea-abf5-1f5e28a63773,18,3.0,1295000,4,3.0,0,0,,2,2,0
1586725,47,1,1,2,3,4,1,1.0,4.0,1.0,1,2.0,0.0,2.0,d68dc71a-edad-11ea-a8fb-0434a8116a43,36,6.0,12612000,1,,0,0,,1,1,1
1660853,30,1,1,2,1,3,3,4.0,7.0,1.0,1,2.0,,0.0,d68dc7a6-edad-11ea-9828-03b8fce3f80e,18,2.0,2249000,4,1.0,0,0,,1,1,0
1132472,28,1,1,1,1,3,1,4.0,7.0,,1,1.0,,0.0,d68dc83c-edad-11ea-b3c3-3b4b4a5238f9,12,7.0,1108000,4,2.0,0,0,,2,6,1
1368120,56,1,1,1,1,4,1,7.0,,,1,1.0,,,d68dc8c8-edad-11ea-99f9-135529eafd46,12,1.0,618000,4,2.0,0,0,,1,2,0
1403185,54,1,1,1,1,3,1,7.0,,,1,1.0,,0.0,d68dc94a-edad-11ea-af9c-3a9375ebdaf3,12,4.0,1409000,4,2.0,0,0,,1,2,0
1601892,33,2,2,2,1,3,2,7.0,,,1,,,,d68dc9d6-edad-11ea-bbbb-3e6f9ad604b6,12,1.0,797000,4,3.0,0,0,1.0,1,2,1
1220273,20,1,1,1,2,4,1,7.0,,,1,,2.0,,d68dca62-edad-11ea-9d83-414eeb11e188,24,3.0,3617000,4,,1,0,,2,2,0
1713632,54,1,1,1,1,4,1,7.0,,1.0,1,4.0,0.0,2.0,d68dcae4-edad-11ea-bd63-0f82516e8c9a,12,2.0,1318000,4,2.0,0,0,,1,1,0
1416025,58,1,1,1,2,4,1,0.0,1.0,1.0,1,1.0,0.0,2.0,d68dcb70-edad-11ea-af3c-1c3e47ff3483,54,5.0,15945000,3,,0,0,,1,6,1
1610826,61,2,2,1,1,2,1,4.0,7.0,,1,,,,d68dcbfc-edad-11ea-ad44-06ed8ffa90db,12,6.0,2012000,4,1.0,0,0,,1,2,0
1887006,34,1,1,1,1,4,1,1.0,4.0,,1,2.0,0.0,2.0,d68dcc7e-edad-11ea-8d12-1be74a638595,18,5.0,2622000,4,1.0,0,0,,1,1,0
1570732,36,1,1,1,1,4,1,7.0,,,1,1.0,0.0,2.0,d68dcd0a-edad-11ea-bfbe-0b1c5232ef5b,36,1.0,2337000,4,2.0,0,0,,1,2,0
1617889,36,1,1,2,2,4,3,4.0,7.0,1.0,1,,0.0,2.0,d68dcd96-edad-11ea-a24d-4b151f9c2834,20,4.0,7057000,3,3.0,0,0,1.0,2,3,0
1318902,41,1,3,1,2,4,2,7.0,,,1,2.0,,,d68dce18-edad-11ea-b9aa-2ee09b4ac777,24,2.0,1469000,4,2.0,0,0,,1,1,0
1466716,24,1,1,1,2,4,1,4.0,7.0,,1,1.0,0.0,2.0,d68dcea4-edad-11ea-bb1a-384a200d31e4,36,1.0,2323000,4,1.0,0,0,,1,1,0
1621669,24,2,2,1,1,2,1,1.0,4.0,,1,1.0,,,d68dcf26-edad-11ea-a3d9-30aa54f568e3,6,1.0,932000,3,2.0,0,0,,1,3,0
1901818,35,1,1,1,2,3,1,4.0,7.0,1.0,1,1.0,0.0,2.0,d68dcfb2-edad-11ea-9760-3d64dda512ad,9,3.0,1919000,4,1.0,0,0,,1,2,0
1114473,26,1,3,1,2,4,1,0.0,1.0,1.0,1,,,,d68dd03e-edad-11ea-beb0-18bb6a01d5af,12,4.0,2445000,2,1.0,0,0,,1,1,0
1514853,39,1,1,2,1,3,3,1.0,4.0,1.0,1,1.0,0.0,2.0,d68dd0c0-edad-11ea-a548-3f53dbbe0a19,24,,11938000,2,1.0,1,0,,2,2,1
1645589,39,1,1,2,1,4,3,7.0,,1.0,1,1.0,,,d68dd14c-edad-11ea-9e7c-0fab01ac5e54,18,2.0,6458000,2,,0,0,1.0,2,5,1
1504772,32,1,1,1,1,2,1,4.0,7.0,,1,1.0,0.0,2.0,d68dd1d8-edad-11ea-8c4b-3562d606fa2d,12,2.0,6078000,2,1.0,0,0,,1,1,0
1698579,30,2,2,1,1,2,1,0.0,1.0,1.0,0,,,0.0,d68dd264-edad-11ea-ac9b-1a83e5ec58f0,24,3.0,7721000,1,3.0,0,0,,1,1,0
1754975,35,1,3,1,1,2,1,7.0,,1.0,1,3.0,0.0,2.0,d68dd2f0-edad-11ea-86cb-0e7e6f9f44d9,14,5.0,1410000,1,2.0,0,0,,1,1,0
1222155,31,1,4,2,1,2,1,7.0,,,1,2.0,0.0,2.0,d68dd372-edad-11ea-8217-088829cf1406,6,5.0,1449000,1,1.0,0,0,1.0,2,3,0
1719636,23,2,2,1,2,4,1,0.0,1.0,1.0,1,1.0,2.0,,d68dd3fe-edad-11ea-85d9-0801dba76242,15,6.0,392000,4,3.0,0,0,,1,1,0
1323966,28,1,1,1,2,3,2,4.0,7.0,,1,1.0,0.0,2.0,d68dd48a-edad-11ea-8b02-590b91e669a9,18,2.0,6260000,3,2.0,0,0,,1,1,0
1683052,25,2,2,1,1,2,1,1.0,4.0,1.0,1,1.0,,,d68dd50c-edad-11ea-bc3c-41c0d26b4bdb,36,2.0,7855000,4,2.0,0,0,2.0,2,2,1
1405004,35,1,3,1,1,1,1,7.0,,,1,3.0,,0.0,d68dd598-edad-11ea-962f-4f70b120fd05,12,1.0,1680000,3,2.0,0,0,,1,1,0
1848791,47,1,1,1,1,1,1,7.0,,1.0,1,,,,d68dd61a-edad-11ea-9a03-0c03b1c8f7ee,48,1.0,3578000,4,2.0,0,0,,1,2,0
1229152,30,2,2,1,1,3,3,4.0,7.0,1.0,1,,,0.0,d68dd6a6-edad-11ea-a317-531d4d08ee0e,42,1.0,7174000,4,1.0,0,0,,1,1,1
1206049,27,2,2,1,2,3,1,0.0,1.0,,0,,,0.0,d68dd732-edad-11ea-a8a4-28c83b513f8f,10,3.0,2132000,2,2.0,1,0,,2,2,0
1651983,23,2,2,1,1,4,1,1.0,4.0,,1,3.0,,0.0,d68dd7b4-edad-11ea-b52e-2b8ed7488c0b,33,3.0,4281000,1,1.0,0,0,,2,2,1
1357789,36,1,4,1,1,3,3,4.0,7.0,1.0,1,3.0,0.0,2.0,d68dd840-edad-11ea-bc24-1cbb1240abb6,12,2.0,2366000,3,1.0,0,0,,1,2,0
1506336,25,2,2,1,1,2,1,1.0,4.0,1.0,1,1.0,,0.0,d68dd8c2-edad-11ea-8325-48f5964f39e5,21,1.0,1835000,3,2.0,0,0,,2,1,1
1171493,41,2,2,1,2,2,3,7.0,,1.0,1,1.0,,,d68dd94e-edad-11ea-9088-5845d419df53,24,4.0,3868000,4,1.0,0,0,,2,2,0
1278346,24,1,1,1,2,2,2,1.0,4.0,,1,1.0,,,d68dd9da-edad-11ea-9234-4e2165b63284,12,3.0,1768000,3,2.0,0,0,,1,1,0
1852036,63,1,1,1,3,4,1,7.0,,1.0,1,1.0,2.0,,d68dda5c-edad-11ea-b643-248f1830d800,10,2.0,781000,4,,0,0,,2,2,0
1717438,27,2,2,1,2,3,1,0.0,1.0,,1,,0.0,2.0,d68ddae8-edad-11ea-9fd2-30c994a00777,18,3.0,1924000,4,2.0,0,0,,1,1,1
1168894,30,1,1,1,1,2,1,1.0,4.0,,1,1.0,,0.0,d68ddb6a-edad-11ea-8022-2a49c6cad240,12,2.0,2121000,4,3.0,0,0,,2,2,0
1169906,40,1,3,1,1,2,2,1.0,4.0,,1,1.0,,0.0,d68ddbf6-edad-11ea-ad88-1d553c0d91b4,12,1.0,701000,4,2.0,0,0,,1,1,0
1693022,30,1,1,1,1,2,1,1.0,4.0,,1,1.0,0.0,2.0,d68ddc8c-edad-11ea-a0b0-0a1ffcb540b8,12,7.0,639000,4,1.0,0,0,,1,1,1
1125378,34,1,1,1,1,2,3,,0.0,1.0,1,1.0,0.0,2.0,d68ddd18-edad-11ea-805a-38e62c783db8,12,4.0,1860000,4,1.0,0,0,,2,2,0
1355140,29,2,2,1,1,2,1,1.0,4.0,,1,1.0,,0.0,d68ddda4-edad-11ea-a0b7-0e0dd96bd8b7,12,2.0,3499000,3,2.0,1,0,,2,2,1
1156488,24,2,2,1,1,2,1,4.0,7.0,,1,,0.0,2.0,d68dde26-edad-11ea-a6d8-0465cafd2c02,48,2.0,8487000,1,1.0,0,0,,1,1,0
1817517,29,1,1,1,1,3,1,1.0,4.0,1.0,1,1.0,,0.0,d68ddeb2-edad-11ea-9d4d-4213f5f0e77f,36,6.0,6887000,4,3.0,0,0,2.0,1,3,1
1183266,27,1,1,1,1,3,2,0.0,1.0,,1,1.0,,,d68ddf34-edad-11ea-bc47-041f8c0e2825,15,3.0,2708000,2,3.0,0,0,1.0,2,1,0
1834069,47,1,1,1,3,4,1,1.0,4.0,,1,1.0,,,d68ddfc0-edad-11ea-90dc-2aff777a2e5f,18,3.0,1984000,4,,0,0,1.0,2,1,0
1501095,21,2,2,1,1,4,1,4.0,7.0,1.0,1,2.0,,,d68de042-edad-11ea-911c-56953b2d3d8e,60,1.0,10144000,2,2.0,0,0,,1,1,0
1577050,38,2,2,1,1,2,1,7.0,,1.0,1,,,,d68de0ce-edad-11ea-b005-484343171fc7,12,1.0,1240000,4,2.0,0,0,,2,2,0
1601894,27,1,1,1,1,2,1,1.0,4.0,,1,4.0,,,d68de150-edad-11ea-a8f8-3f2d5096c477,27,4.0,8613000,2,1.0,0,0,,2,3,0
1376069,66,1,1,1,1,3,2,1.0,4.0,,1,3.0,0.0,2.0,d68de1dc-edad-11ea-bdd6-4a9c08795601,12,1.0,766000,4,2.0,0,0,,1,1,1
1450465,35,1,1,1,1,2,1,4.0,7.0,1.0,1,,0.0,2.0,d68de25e-edad-11ea-9aff-47794126d1cb,15,1.0,2728000,4,2.0,0,1,1.0,3,2,0
1565903,44,2,2,1,2,2,2,1.0,4.0,1.0,1,1.0,2.0,,d68de2ea-edad-11ea-9e05-383919943716,12,1.0,1881000,2,1.0,0,0,,1,1,0
1124574,27,1,3,1,1,2,4,0.0,1.0,,0,4.0,2.0,,d68de376-edad-11ea-aec7-483aab1053e4,6,2.0,709000,2,2.0,0,0,,1,1,0
1432828,30,2,2,1,1,1,3,0.0,1.0,1.0,1,1.0,0.0,2.0,d68de3f8-edad-11ea-9d9a-13759ea03618,36,1.0,4795000,4,,0,0,,1,1,0
1682758,27,1,1,1,1,2,3,1.0,4.0,,1,1.0,,0.0,d68de484-edad-11ea-b499-571ac2e163c1,27,1.0,3416000,3,1.0,0,0,,1,1,0
1902944,22,1,1,1,1,2,1,1.0,4.0,,1,1.0,,0.0,d68de506-edad-11ea-bdae-0e7e30d8bde8,18,3.0,2462000,2,1.0,0,0,,1,1,1
1774498,23,2,2,1,1,4,1,0.0,1.0,1.0,1,1.0,,,d68de592-edad-11ea-b182-438ac99d5809,21,3.0,2288000,4,3.0,0,0,,1,2,0
1411456,30,1,1,1,1,2,1,4.0,7.0,,1,2.0,0.0,2.0,d68de61e-edad-11ea-a3f1-003107fa5332,48,5.0,3566000,4,1.0,0,0,,1,5,0
