applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Telephone,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket)
1574283,24,male,single,1,own,3,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1866940,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,,,1,High,,
1188917,26,male,divorced/separated,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,High,0,2 lac
1491485,44,male,single,2,own,4,unskilled - resident,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1381317,24,male,married/widowed,1,rent,4,skilled employee / official,4 years,7 years,,1,Medium,,0
1246402,58,female,divorced/separated/married,1,for free,4,unskilled - resident,7 years,,,1,Low,,0
1641291,35,female,divorced/separated/married,1,own,4,management / self-employed / highly qualified employee / officer,0 year,1 year,,1,Low,,
1716706,39,male,single,1,own,4,skilled employee / official,7 years,,,1,High,,
1395153,23,female,divorced/separated/married,1,rent,2,unemployed / unskilled - non-resident,,0 year,Registered under the applicant's name,1,High,,0
1697859,39,male,single,1,own,4,unskilled - resident,1 year,4 years,,1,Low,,
1193227,28,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Medium,,
1850736,29,male,single,1,own,2,unskilled - resident,0 year,1 year,,1,,0,2 lac
1771270,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1840431,25,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1502325,31,male,single,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,,,
1151072,57,male,single,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1875288,26,male,single,2,own,2,unskilled - resident,1 year,4 years,,1,,,
1361963,52,male,single,1,own,1,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,,0,2 lac
1599723,31,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1438784,23,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,7 years,,,1,Low,2 lac,
1274604,23,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1 year,Registered under the applicant's name,1,Low,,0
1548860,27,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1570047,50,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,,0,2 lac
1825757,61,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1304525,25,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1750074,26,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1134752,48,male,single,2,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,,,
1505713,29,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,,1,Low,,
1724003,22,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,,1,Very high,0,2 lac
1388519,37,male,single,1,for free,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1724882,25,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,,1,,,
1463336,30,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1804919,46,male,single,1,rent,2,unskilled - resident,7 years,,Registered under the applicant's name,1,,,
1591747,51,male,single,2,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,0
1743709,41,female,divorced/separated/married,1,own,1,unskilled - resident,4 years,7 years,,1,Low,0,2 lac
1472593,40,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,,,0
1641977,66,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,,1,Low,,0
1649753,34,male,single,1,own,3,skilled employee / official,0 year,1 year,,1,Low,,0
1149571,51,male,single,1,own,4,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1691240,39,male,single,2,own,2,unskilled - resident,1 year,4 years,,1,,,
1838961,22,male,married/widowed,1,own,1,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1403464,44,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,,,
1646022,47,male,single,1,own,3,skilled employee / official,7 years,,Registered under the applicant's name,1,High,,
1106801,24,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,4 years,,1,Medium,,
1616296,58,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,,Registered under the applicant's name,1,Low,,0
1238277,52,male,single,1,own,4,unskilled - resident,7 years,,,1,Low,,0
1175457,29,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,,
1576577,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1586725,47,male,single,2,for free,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Medium,0,2 lac
1660853,30,male,single,2,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Medium,,0
1132472,28,male,single,1,own,3,skilled employee / official,4 years,7 years,,1,Low,,0
1368120,56,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,,
1403185,54,male,single,1,own,3,skilled employee / official,7 years,,,1,Low,,0
1601892,33,female,divorced/separated/married,2,own,3,unskilled - resident,7 years,,,1,,,
1220273,20,male,single,1,rent,4,skilled employee / official,7 years,,,1,,2 lac,
1713632,54,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Very high,0,2 lac
1416025,58,male,single,1,rent,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,0,2 lac
1610826,61,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,,1,,,
1887006,34,male,single,1,own,4,skilled employee / official,1 year,4 years,,1,Medium,0,2 lac
1570732,36,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,0,2 lac
1617889,36,male,single,2,rent,4,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,,0,2 lac
1318902,41,male,married/widowed,1,rent,4,unskilled - resident,7 years,,,1,Medium,,
1466716,24,male,single,1,rent,4,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1621669,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1901818,35,male,single,1,rent,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,0,2 lac
1114473,26,male,married/widowed,1,rent,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,,,
1514853,39,male,single,2,own,3,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1645589,39,male,single,2,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,
1504772,32,male,single,1,own,2,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1698579,30,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,0,,,0
1754975,35,male,married/widowed,1,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,High,0,2 lac
1222155,31,male,divorced/separated,2,own,2,skilled employee / official,7 years,,,1,Medium,0,2 lac
1719636,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,2 lac,
1323966,28,male,single,1,rent,3,unskilled - resident,4 years,7 years,,1,Low,0,2 lac
1683052,25,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1405004,35,male,married/widowed,1,own,1,skilled employee / official,7 years,,,1,High,,0
1848791,47,male,single,1,own,1,skilled employee / official,7 years,,Registered under the applicant's name,1,,,
1229152,30,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,,,0
1206049,27,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,,0,,,0
1651983,23,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,,1,High,,0
1357789,36,male,divorced/separated,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,High,0,2 lac
1506336,25,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,0
1171493,41,female,divorced/separated/married,1,rent,2,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,
1278346,24,male,single,1,rent,2,unskilled - resident,1 year,4 years,,1,Low,,
1852036,63,male,single,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,2 lac,
1717438,27,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,,1,,0,2 lac
1168894,30,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1169906,40,male,married/widowed,1,own,2,unskilled - resident,1 year,4 years,,1,Low,,0
1693022,30,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1125378,34,male,single,1,own,2,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1355140,29,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1156488,24,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,,1,,0,2 lac
1817517,29,male,single,1,own,3,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,0
1183266,27,male,single,1,own,3,unskilled - resident,0 year,1 year,,1,Low,,
1834069,47,male,single,1,for free,4,skilled employee / official,1 year,4 years,,1,Low,,
1501095,21,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Medium,,
1577050,38,female,divorced/separated/married,1,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,,,
1601894,27,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Very high,,
1376069,66,male,single,1,own,3,unskilled - resident,1 year,4 years,,1,High,0,2 lac
1450465,35,male,single,1,own,2,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,,0,2 lac
1565903,44,female,divorced/separated/married,1,rent,2,unskilled - resident,1 year,4 years,Registered under the applicant's name,1,Low,2 lac,
1124574,27,male,married/widowed,1,own,2,unemployed / unskilled - non-resident,0 year,1 year,,0,Very high,2 lac,
1432828,30,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1 year,Registered under the applicant's name,1,Low,0,2 lac
1682758,27,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,,1,Low,,0
1902944,22,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1774498,23,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1411456,30,male,single,1,own,2,skilled employee / official,4 years,7 years,,1,Medium,0,2 lac
1387053,39,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,0
1563602,51,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Medium,,
1901178,28,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1841686,46,male,single,1,own,4,skilled employee / official,7 years,,,1,Very high,,
1403203,42,male,single,2,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Medium,,
1448565,38,male,single,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,0,Low,,
1538125,24,male,single,1,own,1,skilled employee / official,1 year,4 years,,1,Low,2 lac,
1115975,29,female,divorced/separated/married,1,rent,4,skilled employee / official,7 years,,,1,Very high,0,2 lac
1230615,36,male,single,1,rent,4,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Medium,0,2 lac
1841503,20,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,,1,Low,,0
1321123,48,male,single,2,own,4,skilled employee / official,7 years,,,0,Medium,,0
1691733,45,male,married/widowed,1,own,1,unskilled - resident,7 years,,,1,Low,,0
1680095,38,male,single,1,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Medium,0,2 lac
1660328,34,male,single,2,own,2,unskilled - resident,1 year,4 years,,1,,,
1187072,36,male,single,2,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Medium,,
1460273,30,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,,1,Low,,
1138817,36,male,single,1,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,High,,
1628583,70,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1734823,36,male,single,1,own,4,skilled employee / official,7 years,,,1,High,,
1280180,32,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,High,,
1279502,33,female,divorced/separated/married,1,own,2,skilled employee / official,,0 year,,1,Low,,0
1699886,20,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,,1,Very high,0,2 lac
1183811,25,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,
1775311,31,male,divorced/separated,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1770037,33,male,single,2,rent,3,skilled employee / official,7 years,,,1,Low,,0
1420832,26,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1388983,34,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1827797,33,male,single,1,own,2,skilled employee / official,1 year,4 years,,0,Low,0,2 lac
1758397,26,male,single,1,own,1,skilled employee / official,0 year,1 year,,1,Low,,0
1126090,53,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,,,
1653715,42,male,divorced/separated,1,own,1,skilled employee / official,1 year,4 years,,1,Low,,0
1534783,52,male,single,1,own,4,skilled employee / official,7 years,,,1,High,,0
1705627,31,male,single,2,rent,2,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Low,,
1156764,65,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,,0
1351247,28,male,divorced/separated,1,own,1,skilled employee / official,0 year,1 year,,1,Low,,
1324848,30,male,divorced/separated,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1706494,40,male,single,2,own,2,unskilled - resident,1 year,4 years,,1,,,0
1325093,50,male,single,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Very high,,
1168078,36,male,single,2,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1625627,31,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1645519,74,female,divorced/separated/married,2,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1308726,68,male,single,1,for free,3,unemployed / unskilled - non-resident,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1460398,20,male,married/widowed,1,own,1,skilled employee / official,4 years,7 years,,1,Medium,,0
1802699,33,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1693215,54,male,single,1,own,3,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Very high,,
1493175,34,male,single,2,for free,4,unskilled - resident,4 years,7 years,,1,Medium,0,2 lac
1387043,36,male,single,2,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1603493,29,male,married/widowed,1,rent,2,skilled employee / official,4 years,7 years,,1,Low,,
1807486,21,male,single,1,rent,4,skilled employee / official,1 year,4 years,,1,Medium,0,2 lac
1543290,34,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1468750,28,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1849580,27,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,,1,Medium,0,2 lac
1855241,36,male,single,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,,0,2 lac
1709944,40,male,divorced/separated,1,own,3,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1781381,52,male,single,1,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,High,,
1505411,27,male,married/widowed,1,own,3,unskilled - resident,1 year,4 years,,1,Low,,0
1662647,26,male,single,1,own,4,skilled employee / official,4 years,7 years,,1,Low,,
1277108,21,male,married/widowed,1,rent,4,skilled employee / official,4 years,7 years,,1,Low,,0
1632379,38,male,single,2,own,1,unskilled - resident,7 years,,,1,Low,,
1232889,38,male,single,2,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,0
1729265,43,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,
1266769,26,male,single,1,own,3,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1457378,21,male,married/widowed,1,own,2,unskilled - resident,1 year,4 years,,1,Low,,0
1241829,55,male,single,1,own,2,skilled employee / official,4 years,7 years,,0,Very high,,
1586696,33,male,single,2,own,2,skilled employee / official,1 year,4 years,,1,,,
1878718,45,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,,Registered under the applicant's name,1,,,
1613024,50,male,single,1,own,4,skilled employee / official,,0 year,Registered under the applicant's name,1,Low,,0
1781216,66,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,2 lac,
1529476,51,male,single,1,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,,,
1680133,39,female,divorced/separated/married,1,own,3,unskilled - resident,4 years,7 years,,1,,0,2 lac
1671701,31,male,single,1,own,1,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,0
1698484,23,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,2 lac,
1482932,24,male,divorced/separated,1,rent,2,unskilled - resident,1 year,4 years,,1,Low,,0
1332984,64,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1280672,26,male,married/widowed,1,own,1,unskilled - resident,0 year,1 year,,1,Low,0,2 lac
1622064,23,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,,,0
1593121,30,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1128002,32,male,single,2,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,,,
1761229,30,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1564360,27,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1749949,27,male,single,1,own,2,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Very high,0,2 lac
1468094,53,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,0
1857654,22,male,single,1,own,2,skilled employee / official,4 years,7 years,,1,Low,,
1785759,22,male,single,1,for free,1,skilled employee / official,0 year,1 year,,1,Low,,0
1596358,26,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,2 lac,
1515190,51,male,single,1,for free,4,unskilled - resident,7 years,,,1,High,,
1720597,35,male,single,1,own,1,skilled employee / official,4 years,7 years,,1,Medium,,
1487170,25,male,married/widowed,1,own,2,unskilled - resident,1 year,4 years,,1,Low,0,2 lac
1570458,42,male,single,2,own,1,unskilled - resident,4 years,7 years,,1,Low,,
1216325,30,male,single,2,own,2,management / self-employed / highly qualified employee / officer,,0 year,,1,Low,,0
1810247,23,male,single,1,own,2,unemployed / unskilled - non-resident,,0 year,Registered under the applicant's name,1,,0,2 lac
1303121,61,male,divorced/separated,1,rent,2,unskilled - resident,7 years,,,1,Medium,0,2 lac
1755306,35,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1429938,39,male,single,2,own,3,skilled employee / official,7 years,,,1,Low,,0
1255291,29,female,divorced/separated/married,1,own,2,skilled employee / official,7 years,,,1,,,0
1766084,51,male,single,2,own,2,skilled employee / official,4 years,7 years,,1,Low,,
1598979,24,male,single,2,for free,4,skilled employee / official,7 years,,,1,Low,,0
1700009,27,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1591456,35,female,divorced/separated/married,2,own,3,unskilled - resident,1 year,4 years,,1,High,,
1444099,25,male,single,1,own,1,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,
1627604,52,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,,
1533746,35,male,single,1,rent,1,skilled employee / official,1 year,4 years,,0,Medium,,
1659113,26,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,2 lac,
1276035,22,female,divorced/separated/married,1,rent,4,skilled employee / official,,0 year,,1,Low,,
1812017,39,female,divorced/separated/married,1,own,4,unskilled - resident,4 years,7 years,Registered under the applicant's name,1,Very high,,0
1540012,46,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,,1,Low,2 lac,
1582743,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1891614,35,male,single,1,own,3,skilled employee / official,1 year,4 years,,1,Medium,,
1685016,24,male,single,1,own,1,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,,0,2 lac
1656238,27,male,single,1,own,1,unskilled - resident,1 year,4 years,,1,,0,2 lac
1444375,35,male,single,1,own,2,unskilled - resident,1 year,4 years,,1,Low,,
1148952,29,male,divorced/separated,1,for free,1,skilled employee / official,1 year,4 years,,1,Low,,0
1397248,23,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Medium,,
1513777,57,female,divorced/separated/married,1,own,4,unskilled - resident,,0 year,,1,Medium,,
1352424,27,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1585697,55,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,,,1,Low,,0
1552427,36,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,0
1194650,57,female,divorced/separated/married,1,for free,4,unskilled - resident,7 years,,,1,Low,,
1516910,32,male,single,2,own,4,unskilled - resident,7 years,,,0,Low,,
1847834,37,male,single,2,own,3,skilled employee / official,7 years,,,1,Low,0,2 lac
1647128,36,male,single,1,own,4,skilled employee / official,7 years,,,1,,,
1232944,38,female,divorced/separated/married,1,own,3,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1310758,45,male,divorced/separated,1,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,0,Low,,0
1650945,25,male,single,1,own,2,skilled employee / official,7 years,,,1,,,
1193039,32,male,single,1,own,3,skilled employee / official,4 years,7 years,,0,,,
1753115,37,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,High,,
1799149,36,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,,0,2 lac
1152260,28,male,single,1,own,4,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1522384,34,male,divorced/separated,1,own,1,unskilled - resident,0 year,1 year,Registered under the applicant's name,1,Low,,0
1826417,32,male,single,2,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1860196,26,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
